Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance_%,Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Lab_Score,Extra_Credit,Study_Hours_Per_Week,Total_Score,Grade
S1000,John,Williams,student0@university.edu,Female,21,Engineering,56.98,37.17,81.85,72.72,75.43,12.86,18.43,46.29,6.02,11.7,57.099,F
S1001,Ethan,Martin,student1@university.edu,Male,25,Business,90.47,30.45,86.41,81.89,60.42,23.99,96.15,53.56,0.93,2.8,65.3535,D
S1002,David,Walker,student2@university.edu,Female,18,CS,76.81,98.12,56.5,73.12,89.76,65.67,87.55,70.41,7.05,1.9,76.983,C
S1003,Ali,Thomas,student3@university.edu,Male,21,Mathematics,69.01,61.74,88.39,49.76,61.32,70.32,73.16,77.85,0.71,13.1,70.2725,C
S1004,Ethan,Taylor,student4@university.edu,Male,25,CS,63.5,94.78,78.17,53.18,59.46,79.15,15.03,87.53,8.05,8.6,70.906,C
S1005,Ahmed,Wilson,student5@university.edu,Female,21,CS,69.78,94.02,62.12,55.89,54.8,60.52,33.65,70.92,8.98,8.6,65.9415,D
S1006,Ali,Davis,student6@university.edu,Female,19,Mathematics,93.06,40.7,41.2,80.83,75.78,44.63,63.63,62.76,2.51,11.5,53.97,F
S1007,Omar,Smith,student7@university.edu,Female,23,Mathematics,64.68,41.07,30.23,83.33,83.18,97.47,78.58,65.54,1.06,12.9,56.1625,F
S1008,Sofia,Walker,student8@university.edu,Male,20,Business,88.13,67.76,84.5,71.82,40.03,39.17,11.75,95.04,8.79,16.8,64.9515,D
S1009,James,Taylor,student9@university.edu,Male,21,Mathematics,54.28,64.02,34.84,85.64,85.95,21.56,52.78,68.49,2.65,17.6,57.6785,F
S1010,Noah,Wilson,student10@university.edu,Male,22,CS,99.76,75.49,60.67,71.05,47.26,30.22,40.43,71.18,2.3,5.2,61.57,D
S1011,Ahmed,Brown,student11@university.edu,Male,19,Mathematics,92.98,34.96,46.66,80.14,52.85,21.91,94.2,69.97,4.73,15.9,54.058,F
S1012,Noah,Wilson,student12@university.edu,Male,19,CS,67.71,58.78,90.47,43.25,79.21,68.16,15.46,80.97,8.01,3.1,65.247,D
S1013,Sara,Wilson,student13@university.edu,Female,20,CS,59.17,62.38,91.21,44.52,88.48,87.04,18.81,75.65,5.41,1.3,68.4995,D
S1014,Ahmed,Taylor,student14@university.edu,Male,24,CS,74.07,90.53,93.17,49.88,40.1,45.14,93.39,84.96,2.85,14.2,77.9225,C
S1015,Ethan,Martinez,student15@university.edu,Male,21,Business,60.89,34.09,81.5,43.66,58.82,14.51,52.91,94.36,5.31,2.1,56.138,F
S1016,Sofia,Jones,student16@university.edu,Male,19,Mathematics,83.76,46.46,38.39,93.42,54.77,63.51,65.74,59.35,5.84,10.9,55.339,F
S1017,Priya,Wilson,student17@university.edu,Female,21,Business,69.79,77.02,51.0,58.97,85.11,16.53,51.25,99.89,9.96,2.4,62.8575,D
S1018,Sara,Robinson,student18@university.edu,Female,20,Business,94.04,91.55,55.87,49.46,90.02,73.32,65.05,99.11,6.54,1.1,71.196,C
S1019,Ethan,Thomas,student19@university.edu,Male,20,Business,55.77,37.49,68.73,56.34,76.29,74.59,28.32,74.4,2.64,10.3,56.353,F
S1020,Maria,Jones,student20@university.edu,Female,22,Mathematics,50.18,83.98,74.6,55.72,84.47,59.65,48.49,30.68,0.75,17.8,69.5455,D
S1021,Liam,Clark,student21@university.edu,Male,23,Engineering,71.49,32.93,55.53,95.99,98.33,13.59,42.2,77.74,6.67,7.7,57.9095,F
S1022,Ethan,Martin,student22@university.edu,Male,21,Engineering,98.81,86.75,91.7,41.49,84.19,39.9,93.77,86.16,8.64,16.4,79.52,C
S1023,Priya,Johnson,student23@university.edu,Male,24,Mathematics,92.93,45.57,87.16,67.62,58.31,81.58,30.48,31.66,1.93,7.2,62.2245,D
S1024,Ahmed,Anderson,student24@university.edu,Female,24,Business,96.96,38.07,97.93,50.71,97.75,33.89,19.76,60.42,7.29,7.0,62.9695,D
S1025,Ravi,Robinson,student25@university.edu,Male,24,Engineering,62.74,79.61,30.12,95.53,72.31,74.75,76.78,76.94,3.64,2.3,65.7615,D
S1026,Aisha,Walker,student26@university.edu,Female,19,Business,75.36,76.68,52.83,81.83,73.26,27.27,69.84,56.54,7.48,4.3,65.794,D
S1027,Nora,Thomas,student27@university.edu,Female,18,Business,64.35,60.09,70.6,79.28,67.9,49.79,29.23,63.12,9.01,16.1,63.453,D
S1028,Emma,Jones,student28@university.edu,Female,23,Mathematics,90.92,82.58,77.1,53.48,51.95,12.2,32.04,63.26,8.5,2.4,63.969,D
S1029,Noah,Lewis,student29@university.edu,Male,24,CS,69.98,40.33,78.13,93.56,91.63,89.69,80.06,45.32,8.04,14.2,71.475,C
S1030,Zara,Brown,student30@university.edu,Male,19,CS,56.67,62.53,67.18,73.54,59.04,77.97,49.83,87.05,8.92,9.1,65.9555,D
S1031,Ethan,Garcia,student31@university.edu,Male,25,CS,62.96,47.31,74.64,85.95,71.28,66.41,34.71,35.42,2.86,6.2,62.8025,D
S1032,Aisha,Clark,student32@university.edu,Male,20,Engineering,61.56,78.58,79.45,43.85,64.46,58.84,47.42,44.48,4.2,18.2,66.4115,D
S1033,Nora,Williams,student33@university.edu,Female,25,Mathematics,97.14,50.9,57.3,93.5,90.14,58.44,76.12,85.99,8.98,10.3,67.7875,D
S1034,Priya,Martin,student34@university.edu,Female,18,CS,66.81,77.54,58.3,49.9,68.04,21.49,66.0,31.89,3.94,11.7,60.433,D
S1035,Omar,Jones,student35@university.edu,Female,20,CS,59.09,48.21,52.91,67.28,60.25,89.17,35.04,96.58,4.22,16.9,56.834,F
S1036,Lucas,Williams,student36@university.edu,Male,23,Engineering,82.51,84.69,75.62,85.25,96.98,27.94,11.83,40.67,1.26,13.7,70.9575,C
S1037,Nora,Wilson,student37@university.edu,Female,22,Business,58.39,72.51,82.35,46.87,89.16,96.82,19.73,31.8,3.12,13.9,67.183,D
S1038,Fatima,Harris,student38@university.edu,Male,19,Engineering,55.1,84.07,89.52,76.02,47.26,98.55,80.44,54.3,4.28,8.0,79.689,C
S1039,Sofia,Jackson,student39@university.edu,Male,24,CS,55.28,97.26,74.49,89.72,82.44,49.19,76.04,97.58,2.7,16.4,83.3065,B
S1040,Ethan,Martinez,student40@university.edu,Female,24,Business,66.12,47.18,95.42,56.74,67.05,77.54,61.29,76.77,3.36,10.4,69.4815,D
S1041,Aisha,Johnson,student41@university.edu,Female,21,Business,89.89,53.82,91.62,82.07,56.58,10.91,95.33,35.99,7.2,10.3,70.7875,C
S1042,Ali,Martinez,student42@university.edu,Female,25,Mathematics,54.65,45.51,78.43,58.37,74.89,52.59,57.78,59.79,7.46,7.3,62.548,D
